"domain","Predictor","param1","p1_0","p1_val","param2","p2_0","p2_val","param3","p3_0","p3_val","Fixed_Effect","AIC","BIC","R_squared","Log_Likelihood","N_Observations","R_squared_CI_lower","R_squared_CI_upper"
"foods","multimodaldelta","alpha","0","8","rise","0","25","fall","0","0",0.284800596667203,1363.85630085627,1387.32931791835,0.243435288791681,-677.928150428135,2613,0.235084110882723,0.290429223790449
"foods","multimodaldelta","alpha","0","8","rise","0","25","fall","0","25",0.290121688726132,1338.40686341319,1361.87988047527,0.253292049159404,-665.203431706596,2613,0.242508354408966,0.302317659171835
"foods","multimodaldelta","alpha","0","8","rise","0","25","fall","0","5",0.285202938688086,1365.08246373282,1388.5554807949,0.246122535798587,-678.541231866408,2613,0.234490415553271,0.294185113895095
"foods","multimodaldelta","alpha","0","8","rise","0","25","fall","0","75",0.289617062011339,1376.34030229005,1399.81331935213,0.241275306316201,-684.170151145025,2613,0.232787096238912,0.29158078642265
"foods","multimodaldelta","alpha","0","8","rise","0","25","fall","1","0",0.284702924799735,1422.19341015318,1445.66642721526,0.228336013527177,-707.096705076589,2613,0.21882442582789,0.276258037275729
"foods","multimodaldelta","alpha","0","8","rise","0","5","fall","0","0",0.308899868756121,1297.54462256971,1321.0176396318,0.264500947027792,-644.772311284857,2613,0.254521054155708,0.314794762979083
"foods","multimodaldelta","alpha","0","8","rise","0","5","fall","0","25",0.313405992772698,1261.8166307646,1285.28964782668,0.276341177032943,-626.908315382298,2613,0.263601569151502,0.325595898154292
"foods","multimodaldelta","alpha","0","8","rise","0","5","fall","0","5",0.308113724728184,1272.84917228084,1296.32218934292,0.273692666102404,-632.424586140419,2613,0.260009907838348,0.322961471926025
"foods","multimodaldelta","alpha","0","8","rise","0","5","fall","0","75",0.308802473762172,1276.66567538791,1300.13869244999,0.273428091401235,-634.332837693953,2613,0.26358924980093,0.322962300338015
"foods","multimodaldelta","alpha","0","8","rise","0","5","fall","1","0",0.306340612730234,1305.46908420598,1328.94210126807,0.267624929500112,-648.734542102992,2613,0.255583119342464,0.317249780970657
